rating1,type,sentence1,modal2,reverse_sent_order,percent_window,rating2,workerid,rating_other,image,condition,sentence2,Answer.condition,Answer.time_in_minutes,modal1
0.57,aisleangry,You'll probably get an aisle seat,might,0,40,0.41,1,0.020000000000000018,./stim/images/prob_40_1.png,,You might get an aisle seat,undefined,13.085866666666666,probably
0.16,window_angry,You'll probably get a window seat,might,0,60,0.84,1,0,./stim/images/prob_60_4.png,,You might get a window seat,undefined,13.085866666666666,probably
0.54,aisleangry,You'll probably get an aisle seat,might,0,60,0.45999999999999985,1,0,./stim/images/prob_60_1.png,,You might get an aisle seat,undefined,13.085866666666666,probably
0.21,aisleangry,You'll probably get an aisle seat,might,0,75,0.22,1,0.5700000000000001,./stim/images/prob_75_3.png,,You might get an aisle seat,undefined,13.085866666666666,probably
0.21,window_angry,You'll probably get a window seat,might,0,25,0.33,1,0.45999999999999985,./stim/images/prob_25_5.png,,You might get a window seat,undefined,13.085866666666666,probably
0.49,window_angry,You'll probably get a window seat,might,0,50,0.38,1,0.13,./stim/images/prob_50_1.png,,You might get a window seat,undefined,13.085866666666666,probably
0,window_angry,You'll probably get a window seat,might,0,10,0.11,1,0.8899999999999999,./stim/images/prob_10_3.png,,You might get a window seat,undefined,13.085866666666666,probably
0,window_angry,You'll probably get a window seat,might,0,0,0,1,1,./stim/images/prob_0_3.png,,You might get a window seat,undefined,13.085866666666666,probably
0.72,aisleangry,You'll probably get an aisle seat,might,0,25,0.28,1,0,./stim/images/prob_25_2.png,,You might get an aisle seat,undefined,13.085866666666666,probably
0.05,aisleangry,You'll probably get an aisle seat,might,0,75,0.22,1,0.73,./stim/images/prob_75_4.png,,You might get an aisle seat,undefined,13.085866666666666,probably
0,window_angry,You'll probably get a window seat,might,0,10,0.08,1,0.9199999999999999,./stim/images/prob_10_2.png,,You might get a window seat,undefined,13.085866666666666,probably
0.61,window_angry,You'll probably get a window seat,might,0,75,0.34,1,0.050000000000000155,./stim/images/prob_75_5.png,,You might get a window seat,undefined,13.085866666666666,probably
0.87,window_angry,You'll probably get a window seat,might,0,90,0.13000000000000012,1,0,./stim/images/prob_90_4.png,,You might get a window seat,undefined,13.085866666666666,probably
1,window_angry,You'll probably get a window seat,might,0,100,1.1102230246251565e-16,1,0,./stim/images/prob_100_4.png,,You might get a window seat,undefined,13.085866666666666,probably
0.21,window_angry,You'll probably get a window seat,might,0,40,0.6599999999999999,1,0.13,./stim/images/prob_40_1.png,,You might get a window seat,undefined,13.085866666666666,probably
0.66,aisleangry,You'll probably get an aisle seat,might,0,25,0.33999999999999997,1,0,./stim/images/prob_25_5.png,,You might get an aisle seat,undefined,13.085866666666666,probably
1,window_angry,You'll probably get a window seat,might,0,100,0,1,0,./stim/images/prob_100_2.png,,You might get a window seat,undefined,13.085866666666666,probably
0.76,aisleangry,You'll probably get an aisle seat,might,0,10,0.2400000000000001,1,0,./stim/images/prob_10_4.png,,You might get an aisle seat,undefined,13.085866666666666,probably
0,window_angry,You'll probably get a window seat,might,0,0,0,1,1,./stim/images/prob_0_4.png,,You might get a window seat,undefined,13.085866666666666,probably
1,aisleangry,You'll probably get an aisle seat,might,0,0,0,1,0,./stim/images/prob_0_1.png,,You might get an aisle seat,undefined,13.085866666666666,probably
0.9,window_angry,You'll probably get a window seat,might,0,90,0.09999999999999998,1,0,./stim/images/prob_90_5.png,,You might get a window seat,undefined,13.085866666666666,probably
0.05,aisleangry,You'll probably get an aisle seat,might,0,90,0.12,1,0.8300000000000001,./stim/images/prob_90_1.png,,You might get an aisle seat,undefined,13.085866666666666,probably
1,aisleangry,You'll probably get an aisle seat,might,0,0,0,1,0,./stim/images/prob_0_5.png,,You might get an aisle seat,undefined,13.085866666666666,probably
0.15,aisleangry,You'll probably get an aisle seat,might,0,60,0.42,1,0.43000000000000016,./stim/images/prob_60_5.png,,You might get an aisle seat,undefined,13.085866666666666,probably
