workerid,rating1,reverse_sent_order,rating2,percent_window,image,rating_other,type,sentence1,modal2,modal1,condition,Answer.condition,sentence2,Answer.time_in_minutes
2,0.76,1,0.18,60,./stim/images/prob_60_1.png,0.06000000000000005,window_angry,You'll probably get a window seat,might,probably,,undefined,You might get a window seat,4.643716666666666
2,0.6599999999999999,1,0.34,25,./stim/images/prob_25_1.png,0,aisleangry,You'll probably get an aisle seat,might,probably,,undefined,You might get an aisle seat,4.643716666666666
2,0.1100000000000001,1,0.89,25,./stim/images/prob_25_2.png,0,window_angry,You'll probably get a window seat,might,probably,,undefined,You might get a window seat,4.643716666666666
2,0.62,1,0.38,100,./stim/images/prob_100_1.png,1.1102230246251565e-16,aisleangry,You'll probably get an aisle seat,might,probably,,undefined,You might get an aisle seat,4.643716666666666
2,0.65,1,0.35,75,./stim/images/prob_75_4.png,0,aisleangry,You'll probably get an aisle seat,might,probably,,undefined,You might get an aisle seat,4.643716666666666
2,0.56,1,0.44,100,./stim/images/prob_100_5.png,0,aisleangry,You'll probably get an aisle seat,might,probably,,undefined,You might get an aisle seat,4.643716666666666
2,0.26,1,0.44,60,./stim/images/prob_60_2.png,0.30000000000000004,aisleangry,You'll probably get an aisle seat,might,probably,,undefined,You might get an aisle seat,4.643716666666666
2,0.4899999999999999,1,0.51,100,./stim/images/prob_100_3.png,1.1102230246251565e-16,window_angry,You'll probably get a window seat,might,probably,,undefined,You might get a window seat,4.643716666666666
2,0.38,1,0.62,75,./stim/images/prob_75_1.png,0,window_angry,You'll probably get a window seat,might,probably,,undefined,You might get a window seat,4.643716666666666
2,0.5000000000000001,1,0.5,90,./stim/images/prob_90_4.png,1.1102230246251565e-16,window_angry,You'll probably get a window seat,might,probably,,undefined,You might get a window seat,4.643716666666666
2,0.6000000000000001,1,0.4,0,./stim/images/prob_0_5.png,0,aisleangry,You'll probably get an aisle seat,might,probably,,undefined,You might get an aisle seat,4.643716666666666
2,0.6000000000000001,1,0.4,0,./stim/images/prob_0_5.png,0,aisleangry,You'll probably get an aisle seat,might,probably,,undefined,You might get an aisle seat,4.643716666666666
2,0.49,1,0.51,10,./stim/images/prob_10_5.png,0,aisleangry,You'll probably get an aisle seat,might,probably,,undefined,You might get an aisle seat,4.643716666666666
2,0.7500000000000001,1,0.25,50,./stim/images/prob_50_3.png,1.1102230246251565e-16,aisleangry,You'll probably get an aisle seat,might,probably,,undefined,You might get an aisle seat,4.643716666666666
2,0.79,1,0.21,10,./stim/images/prob_10_3.png,0,window_angry,You'll probably get a window seat,might,probably,,undefined,You might get a window seat,4.643716666666666
2,0.5700000000000001,1,0.43,60,./stim/images/prob_60_4.png,1.1102230246251565e-16,window_angry,You'll probably get a window seat,might,probably,,undefined,You might get a window seat,4.643716666666666
3,0.32999999999999996,,0.67,,,,test,,,,angry,undefined,,7.6653
3,0,0,0,0,./stim/images/prob_0_1.png,1,aisleangry,You'll probably get an aisle seat,might,probably,,undefined,You might get an aisle seat,7.6653
3,0,0,0,60,./stim/images/prob_60_3.png,1,window_angry,You'll probably get a window seat,might,probably,,undefined,You might get a window seat,7.6653
3,0,0,0,100,./stim/images/prob_100_5.png,1,window_angry,You'll probably get a window seat,might,probably,,undefined,You might get a window seat,7.6653
3,0,0,0.05,90,./stim/images/prob_90_3.png,0.95,aisleangry,You'll probably get an aisle seat,might,probably,,undefined,You might get an aisle seat,7.6653
3,0.62,0,0,10,./stim/images/prob_10_5.png,0.38,aisleangry,You'll probably get an aisle seat,might,probably,,undefined,You might get an aisle seat,7.6653
3,0,0,0.06,10,./stim/images/prob_10_4.png,0.94,window_angry,You'll probably get a window seat,might,probably,,undefined,You might get a window seat,7.6653
3,0,0,0.23,40,./stim/images/prob_40_3.png,0.77,aisleangry,You'll probably get an aisle seat,might,probably,,undefined,You might get an aisle seat,7.6653
3,0,0,0.28,50,./stim/images/prob_50_3.png,0.7199999999999999,window_angry,You'll probably get a window seat,might,probably,,undefined,You might get a window seat,7.6653
3,0,0,0.13,75,./stim/images/prob_75_1.png,0.87,aisleangry,You'll probably get an aisle seat,might,probably,,undefined,You might get an aisle seat,7.6653
3,0,0,0.21,40,./stim/images/prob_40_1.png,0.7899999999999999,window_angry,You'll probably get a window seat,might,probably,,undefined,You might get a window seat,7.6653
3,0,0,0.2,75,./stim/images/prob_75_5.png,0.7999999999999999,window_angry,You'll probably get a window seat,might,probably,,undefined,You might get a window seat,7.6653
3,0,0,0.11,75,./stim/images/prob_75_5.png,0.8899999999999999,aisleangry,You'll probably get an aisle seat,might,probably,,undefined,You might get an aisle seat,7.6653
3,0,0,0,100,./stim/images/prob_100_3.png,1,aisleangry,You'll probably get an aisle seat,might,probably,,undefined,You might get an aisle seat,7.6653
3,0,0,0.27,60,./stim/images/prob_60_3.png,0.7299999999999999,aisleangry,You'll probably get an aisle seat,might,probably,,undefined,You might get an aisle seat,7.6653
3,0,0,0.17,25,./stim/images/prob_25_4.png,0.8300000000000001,window_angry,You'll probably get a window seat,might,probably,,undefined,You might get a window seat,7.6653
3,0.34,0,0.32,40,./stim/images/prob_40_5.png,0.33999999999999997,aisleangry,You'll probably get an aisle seat,might,probably,,undefined,You might get an aisle seat,7.6653
3,0.74,0,0,90,./stim/images/prob_90_4.png,0.2599999999999999,window_angry,You'll probably get a window seat,might,probably,,undefined,You might get a window seat,7.6653
3,0.68,0,0,10,./stim/images/prob_10_1.png,0.31999999999999984,aisleangry,You'll probably get an aisle seat,might,probably,,undefined,You might get an aisle seat,7.6653
3,0.86,0,0,0,./stim/images/prob_0_3.png,0.1399999999999999,aisleangry,You'll probably get an aisle seat,might,probably,,undefined,You might get an aisle seat,7.6653
3,0,0,0,0,./stim/images/prob_0_3.png,1,window_angry,You'll probably get a window seat,might,probably,,undefined,You might get a window seat,7.6653
3,0,0,0.51,60,./stim/images/prob_60_5.png,0.49,window_angry,You'll probably get a window seat,might,probably,,undefined,You might get a window seat,7.6653
3,0,0,0.5,50,./stim/images/prob_50_5.png,0.5,window_angry,You'll probably get a window seat,might,probably,,undefined,You might get a window seat,7.6653
3,0,0,0.07,90,./stim/images/prob_90_3.png,0.9299999999999999,aisleangry,You'll probably get an aisle seat,might,probably,,undefined,You might get an aisle seat,7.6653
3,0.8,0,0,100,./stim/images/prob_100_3.png,0.20000000000000007,window_angry,You'll probably get a window seat,might,probably,,undefined,You might get a window seat,7.6653
3,0,0,0,100,./stim/images/prob_100_4.png,1,aisleangry,You'll probably get an aisle seat,might,probably,,undefined,You might get an aisle seat,7.6653
3,0,0,0.45,75,./stim/images/prob_75_3.png,0.5499999999999999,window_angry,You'll probably get a window seat,might,probably,,undefined,You might get a window seat,7.6653
3,0,0,0.32,10,./stim/images/prob_10_3.png,0.68,window_angry,You'll probably get a window seat,might,probably,,undefined,You might get a window seat,7.6653
3,0,0,0,0,./stim/images/prob_0_1.png,1,window_angry,You'll probably get a window seat,might,probably,,undefined,You might get a window seat,7.6653
3,0,0,0.32,50,./stim/images/prob_50_5.png,0.68,aisleangry,You'll probably get an aisle seat,might,probably,,undefined,You might get an aisle seat,7.6653
3,0,0,0.14,25,./stim/images/prob_25_2.png,0.86,window_angry,You'll probably get a window seat,might,probably,,undefined,You might get a window seat,7.6653
3,0.58,0,0.30000000000000004,25,./stim/images/prob_25_5.png,0.12,aisleangry,You'll probably get an aisle seat,might,probably,,undefined,You might get an aisle seat,7.6653
3,0.59,0,0.11,90,./stim/images/prob_90_5.png,0.30000000000000004,window_angry,You'll probably get a window seat,might,probably,,undefined,You might get a window seat,7.6653
3,0.07,0,0.25,40,./stim/images/prob_40_5.png,0.68,window_angry,You'll probably get a window seat,might,probably,,undefined,You might get a window seat,7.6653
3,0.08,0,0.46,50,./stim/images/prob_50_2.png,0.45999999999999996,aisleangry,You'll probably get an aisle seat,might,probably,,undefined,You might get an aisle seat,7.6653
3,0.39,0,0.2,25,./stim/images/prob_25_3.png,0.41000000000000003,aisleangry,You'll probably get an aisle seat,might,probably,,undefined,You might get an aisle seat,7.6653
3,0.13,0,0.29,60,./stim/images/prob_60_2.png,0.58,aisleangry,You'll probably get an aisle seat,might,probably,,undefined,You might get an aisle seat,7.6653
4,0,,1,,,,test,,,,angry,undefined,,14.040583333333334
4,0,1,1,75,./stim/images/prob_75_3.png,0,aisleangry,You'll probably get an aisle seat,might,probably,,undefined,You might get an aisle seat,14.040583333333334
4,0,1,1,25,./stim/images/prob_25_4.png,0,aisleangry,You'll probably get an aisle seat,might,probably,,undefined,You might get an aisle seat,14.040583333333334
4,0,1,0,75,./stim/images/prob_75_4.png,1,aisleangry,You'll probably get an aisle seat,might,probably,,undefined,You might get an aisle seat,14.040583333333334
4,0,1,1,60,./stim/images/prob_60_3.png,0,window_angry,You'll probably get a window seat,might,probably,,undefined,You might get a window seat,14.040583333333334
4,0,1,0,90,./stim/images/prob_90_5.png,1,aisleangry,You'll probably get an aisle seat,might,probably,,undefined,You might get an aisle seat,14.040583333333334
4,0,1,0,10,./stim/images/prob_10_1.png,1,window_angry,You'll probably get a window seat,might,probably,,undefined,You might get a window seat,14.040583333333334
4,0,1,0.49,50,./stim/images/prob_50_2.png,0.51,window_angry,You'll probably get a window seat,might,probably,,undefined,You might get a window seat,14.040583333333334
4,0,1,0.82,40,./stim/images/prob_40_3.png,0.18000000000000016,aisleangry,You'll probably get an aisle seat,might,probably,,undefined,You might get an aisle seat,14.040583333333334
4,0,1,0.32,50,./stim/images/prob_50_3.png,0.6799999999999999,window_angry,You'll probably get a window seat,might,probably,,undefined,You might get a window seat,14.040583333333334
4,0,1,0.13,25,./stim/images/prob_25_4.png,0.87,window_angry,You'll probably get a window seat,might,probably,,undefined,You might get a window seat,14.040583333333334
4,0,1,0.12,25,./stim/images/prob_25_1.png,0.88,window_angry,You'll probably get a window seat,might,probably,,undefined,You might get a window seat,14.040583333333334
4,1,1,0,0,./stim/images/prob_0_2.png,0,aisleangry,You'll probably get an aisle seat,might,probably,,undefined,You might get an aisle seat,14.040583333333334
4,1,1,0,10,./stim/images/prob_10_5.png,0,aisleangry,You'll probably get an aisle seat,might,probably,,undefined,You might get an aisle seat,14.040583333333334
4,0,1,1,90,./stim/images/prob_90_2.png,0,window_angry,You'll probably get a window seat,might,probably,,undefined,You might get a window seat,14.040583333333334
4,1,1,0,100,./stim/images/prob_100_4.png,0,window_angry,You'll probably get a window seat,might,probably,,undefined,You might get a window seat,14.040583333333334
4,0,1,0.91,75,./stim/images/prob_75_2.png,0.09000000000000008,window_angry,You'll probably get a window seat,might,probably,,undefined,You might get a window seat,14.040583333333334
4,1,1,0,100,./stim/images/prob_100_1.png,0,window_angry,You'll probably get a window seat,might,probably,,undefined,You might get a window seat,14.040583333333334
4,0,1,0,100,./stim/images/prob_100_1.png,1,aisleangry,You'll probably get an aisle seat,might,probably,,undefined,You might get an aisle seat,14.040583333333334
4,0,1,0,0,./stim/images/prob_0_4.png,1,window_angry,You'll probably get a window seat,might,probably,,undefined,You might get a window seat,14.040583333333334
4,0,1,0.08999999999999997,10,./stim/images/prob_10_2.png,0.91,window_angry,You'll probably get a window seat,might,probably,,undefined,You might get a window seat,14.040583333333334
4,0,1,0.08,90,./stim/images/prob_90_4.png,0.9199999999999999,aisleangry,You'll probably get an aisle seat,might,probably,,undefined,You might get an aisle seat,14.040583333333334
4,0,1,0.87,40,./stim/images/prob_40_2.png,0.13,window_angry,You'll probably get a window seat,might,probably,,undefined,You might get a window seat,14.040583333333334
4,0.08000000000000007,1,0.79,90,./stim/images/prob_90_1.png,0.1299999999999999,window_angry,You'll probably get a window seat,might,probably,,undefined,You might get a window seat,14.040583333333334
4,0,1,0.78,50,./stim/images/prob_50_4.png,0.21999999999999997,aisleangry,You'll probably get an aisle seat,might,probably,,undefined,You might get an aisle seat,14.040583333333334
4,0.91,1,0,0,./stim/images/prob_0_1.png,0.08999999999999997,aisleangry,You'll probably get an aisle seat,might,probably,,undefined,You might get an aisle seat,14.040583333333334
4,0,1,0,0,./stim/images/prob_0_5.png,1,window_angry,You'll probably get a window seat,might,probably,,undefined,You might get a window seat,14.040583333333334
4,0.19,1,0.71,25,./stim/images/prob_25_1.png,0.1000000000000002,aisleangry,You'll probably get an aisle seat,might,probably,,undefined,You might get an aisle seat,14.040583333333334
