mood,text,audio,prob_rating,check2,request,workerid,catch_trial,order,check1,condtion,seat,image,modal
control,You'll probably get one.,./stim/audio/control_probably1_s2.mp3,0.8,./stim/images/exposure_25_4.png,./stim/text/text-1.png,6,0,0,./stim/images/exposure_90_4.png,4,a window seat (red),./stim/images/exposure_90_4.png,probably
control,You might get one.,./stim/audio/control_might2_s2.mp3,0.76,./stim/images/exposure_40_8.png,./stim/text/text-2.png,6,0,1,./stim/images/prob_100_1.png,4,an aisle seat (blue),./stim/images/exposure_40_8.png,might
control,You might get one.,./stim/audio/control_might1_s2.mp3,0.61,./stim/images/exposure_60_4.png,./stim/text/text-1.png,6,0,1,./stim/images/prob_100_1.png,4,a window seat (red),./stim/images/exposure_60_4.png,might
control,You'll probably get one.,./stim/audio/control_probably1_s2.mp3,0.9,./stim/images/exposure_25_5.png,./stim/text/text-1.png,6,1,0,./stim/images/exposure_90_5.png,4,a window seat (red),./stim/images/exposure_90_5.png,probably
control,You'll get one.,./stim/audio/control_bare_s2.mp3,0.94,./stim/images/exposure_60_5.png,./stim/text/text-1.png,6,1,0,./stim/images/prob_100_1.png,4,a window seat (red),./stim/images/prob_100_1.png,bare
control,You'll probably get one.,./stim/audio/control_probably2_s2.mp3,0.91,./stim/images/exposure_10_4.png,./stim/text/text-2.png,6,0,1,./stim/images/exposure_75_4.png,4,an aisle seat (blue),./stim/images/exposure_10_4.png,probably
control,You'll probably get one.,./stim/audio/control_probably1_s2.mp3,0.84,./stim/images/exposure_90_4.png,./stim/text/text-1.png,7,0,1,./stim/images/exposure_25_4.png,4,a window seat (red),./stim/images/exposure_90_4.png,probably
control,You might get one.,./stim/audio/control_might2_s2.mp3,0.73,./stim/images/prob_100_1.png,./stim/text/text-2.png,7,0,0,./stim/images/exposure_40_4.png,4,an aisle seat (blue),./stim/images/exposure_40_4.png,might
control,You'll probably get one.,./stim/audio/control_probably2_s2.mp3,0.96,./stim/images/exposure_10_8.png,./stim/text/text-2.png,7,0,1,./stim/images/exposure_75_8.png,4,an aisle seat (blue),./stim/images/exposure_10_8.png,probably
control,You'll get one.,./stim/audio/control_bare_s2.mp3,1,./stim/images/exposure_60_4.png,./stim/text/text-1.png,7,0,0,./stim/images/prob_100_1.png,4,a window seat (red),./stim/images/prob_100_1.png,bare
control,You might get one.,./stim/audio/control_might2_s2.mp3,0.86,./stim/images/prob_100_1.png,./stim/text/text-2.png,7,1,0,./stim/images/exposure_40_3.png,4,an aisle seat (blue),./stim/images/exposure_40_3.png,might
control,You'll probably get one.,./stim/audio/control_probably1_s2.mp3,1,./stim/images/exposure_90_3.png,./stim/text/text-1.png,7,1,1,./stim/images/exposure_25_3.png,4,a window seat (red),./stim/images/exposure_90_3.png,probably
control,You'll probably get one.,./stim/audio/control_probably2_s2.mp3,0.85,./stim/images/exposure_75_3.png,./stim/text/text-2.png,7,1,0,./stim/images/exposure_10_3.png,4,an aisle seat (blue),./stim/images/exposure_10_3.png,probably
control,You'll get one.,./stim/audio/control_bare_s2.mp3,0.77,./stim/images/exposure_60_8.png,./stim/text/text-1.png,7,0,0,./stim/images/prob_100_1.png,4,a window seat (red),./stim/images/prob_100_1.png,bare
control,You might get one.,./stim/audio/control_might2_s2.mp3,0.81,./stim/images/exposure_40_8.png,./stim/text/text-2.png,7,0,1,./stim/images/prob_100_1.png,4,an aisle seat (blue),./stim/images/exposure_40_8.png,might
