order,prob_rating,audio,mood,check1,workerid,catch_trial,text,condtion,modal,seat,check2,request,image
1,0.84,./stim/audio/angry_might2_s1.mp3,pessimist,./stim/images/exposure_10_5.png,21,0,You might get one.,6,might,an aisle seat (blue),./stim/images/exposure_75_5.png,./stim/text/text-2.png,./stim/images/exposure_75_5.png
1,0.83,./stim/audio/angry_probably1_s1.mp3,pessimist,./stim/images/prob_100_1.png,21,0,You'll probably get one.,6,probably,a window seat (red),./stim/images/exposure_60_6.png,./stim/text/text-1.png,./stim/images/exposure_60_6.png
0,0.84,./stim/audio/angry_might1_s1.mp3,pessimist,./stim/images/exposure_25_5.png,21,0,You might get one.,6,might,a window seat (red),./stim/images/exposure_90_5.png,./stim/text/text-1.png,./stim/images/exposure_25_5.png
1,0.72,./stim/audio/angry_might1_s1.mp3,pessimist,./stim/images/exposure_90_10.png,21,1,You might get one.,6,might,a window seat (red),./stim/images/exposure_25_10.png,./stim/text/text-1.png,./stim/images/exposure_25_10.png
1,0.82,./stim/audio/angry_probably1_s1.mp3,pessimist,./stim/images/prob_100_1.png,21,0,You'll probably get one.,6,probably,a window seat (red),./stim/images/exposure_60_5.png,./stim/text/text-1.png,./stim/images/exposure_60_5.png
1,0.77,./stim/audio/angry_bare_s1.mp3,pessimist,./stim/images/exposure_60_6.png,21,0,You'll get one.,6,bare,a window seat (red),./stim/images/prob_100_1.png,./stim/text/text-1.png,./stim/images/prob_100_1.png
1,1,./stim/audio/angry_bare_s2.mp3,pessimist,./stim/images/exposure_60_6.png,22,0,You'll get one.,6,bare,a window seat (red),./stim/images/prob_100_1.png,./stim/text/text-1.png,./stim/images/prob_100_1.png
0,0.6,./stim/audio/angry_probably2_s2.mp3,pessimist,./stim/images/exposure_40_6.png,22,0,You'll probably get one.,6,probably,an aisle seat (blue),./stim/images/prob_100_1.png,./stim/text/text-2.png,./stim/images/exposure_40_6.png
0,0.51,./stim/audio/angry_probably1_s2.mp3,pessimist,./stim/images/exposure_60_6.png,22,0,You'll probably get one.,6,probably,a window seat (red),./stim/images/prob_100_1.png,./stim/text/text-1.png,./stim/images/exposure_60_6.png
0,1,./stim/audio/angry_bare_s2.mp3,pessimist,./stim/images/prob_100_1.png,22,1,You'll get one.,6,bare,a window seat (red),./stim/images/exposure_60_5.png,./stim/text/text-1.png,./stim/images/prob_100_1.png
1,0.68,./stim/audio/angry_probably1_s2.mp3,pessimist,./stim/images/prob_100_1.png,22,1,You'll probably get one.,6,probably,a window seat (red),./stim/images/exposure_60_5.png,./stim/text/text-1.png,./stim/images/exposure_60_5.png
1,0.35,./stim/audio/angry_might2_s2.mp3,pessimist,./stim/images/exposure_10_5.png,22,1,You might get one.,6,might,an aisle seat (blue),./stim/images/exposure_75_5.png,./stim/text/text-2.png,./stim/images/exposure_75_5.png
0,0.65,./stim/audio/angry_probably2_s2.mp3,pessimist,./stim/images/exposure_40_5.png,22,1,You'll probably get one.,6,probably,an aisle seat (blue),./stim/images/prob_100_1.png,./stim/text/text-2.png,./stim/images/exposure_40_5.png
0,0.25,./stim/audio/angry_might2_s2.mp3,pessimist,./stim/images/exposure_75_6.png,22,0,You might get one.,6,might,an aisle seat (blue),./stim/images/exposure_10_6.png,./stim/text/text-2.png,./stim/images/exposure_75_6.png
0,0.54,./stim/audio/angry_probably1_s2.mp3,pessimist,./stim/images/exposure_60_3.png,22,0,You'll probably get one.,6,probably,a window seat (red),./stim/images/prob_100_1.png,./stim/text/text-1.png,./stim/images/exposure_60_3.png
0,0.22,./stim/audio/angry_might1_s2.mp3,pessimist,./stim/images/exposure_25_6.png,22,0,You might get one.,6,might,a window seat (red),./stim/images/exposure_90_6.png,./stim/text/text-1.png,./stim/images/exposure_25_6.png
0,1,./stim/audio/angry_bare_s2.mp3,pessimist,./stim/images/prob_100_1.png,22,0,You'll get one.,6,bare,a window seat (red),./stim/images/exposure_60_3.png,./stim/text/text-1.png,./stim/images/prob_100_1.png
1,0.18,./stim/audio/angry_might1_s2.mp3,pessimist,./stim/images/exposure_90_5.png,22,1,You might get one.,6,might,a window seat (red),./stim/images/exposure_25_5.png,./stim/text/text-1.png,./stim/images/exposure_25_5.png
1,0.21,./stim/audio/angry_might2_s2.mp3,pessimist,./stim/images/exposure_10_3.png,22,0,You might get one.,6,might,an aisle seat (blue),./stim/images/exposure_75_3.png,./stim/text/text-2.png,./stim/images/exposure_75_3.png
1,0.88,./stim/audio/angry_probably1_s1.mp3,pessimist,./stim/images/prob_100_1.png,23,0,You'll probably get one.,6,probably,a window seat (red),./stim/images/exposure_60_6.png,./stim/text/text-1.png,./stim/images/exposure_60_6.png
0,0.94,./stim/audio/angry_probably2_s1.mp3,pessimist,./stim/images/exposure_40_8.png,23,1,You'll probably get one.,6,probably,an aisle seat (blue),./stim/images/prob_100_1.png,./stim/text/text-2.png,./stim/images/exposure_40_8.png
1,0.47,./stim/audio/angry_might1_s1.mp3,pessimist,./stim/images/exposure_90_1.png,23,0,You might get one.,6,might,a window seat (red),./stim/images/exposure_25_1.png,./stim/text/text-1.png,./stim/images/exposure_25_1.png
1,1,./stim/audio/angry_bare_s1.mp3,pessimist,./stim/images/exposure_60_6.png,23,0,You'll get one.,6,bare,a window seat (red),./stim/images/prob_100_1.png,./stim/text/text-1.png,./stim/images/prob_100_1.png
1,0.43,./stim/audio/angry_might2_s1.mp3,pessimist,./stim/images/exposure_10_1.png,23,0,You might get one.,6,might,an aisle seat (blue),./stim/images/exposure_75_1.png,./stim/text/text-2.png,./stim/images/exposure_75_1.png
1,0.23,./stim/audio/angry_might2_s1.mp3,pessimist,./stim/images/exposure_10_6.png,23,0,You might get one.,6,might,an aisle seat (blue),./stim/images/exposure_75_6.png,./stim/text/text-2.png,./stim/images/exposure_75_6.png
0,0.22,./stim/audio/angry_might1_s1.mp3,pessimist,./stim/images/exposure_25_8.png,23,1,You might get one.,6,might,a window seat (red),./stim/images/exposure_90_8.png,./stim/text/text-1.png,./stim/images/exposure_25_8.png
1,1,./stim/audio/angry_bare_s1.mp3,pessimist,./stim/images/exposure_60_1.png,23,0,You'll get one.,6,bare,a window seat (red),./stim/images/prob_100_1.png,./stim/text/text-1.png,./stim/images/prob_100_1.png
0,0.77,./stim/audio/angry_probably1_s1.mp3,pessimist,./stim/images/exposure_60_8.png,23,1,You'll probably get one.,6,probably,a window seat (red),./stim/images/prob_100_1.png,./stim/text/text-1.png,./stim/images/exposure_60_8.png
0,0.24,./stim/audio/angry_might2_s1.mp3,pessimist,./stim/images/exposure_75_8.png,23,1,You might get one.,6,might,an aisle seat (blue),./stim/images/exposure_10_8.png,./stim/text/text-2.png,./stim/images/exposure_75_8.png
0,0.73,./stim/audio/angry_probably2_s1.mp3,pessimist,./stim/images/exposure_40_1.png,23,0,You'll probably get one.,6,probably,an aisle seat (blue),./stim/images/prob_100_1.png,./stim/text/text-2.png,./stim/images/exposure_40_1.png
0,0.59,./stim/audio/angry_probably1_s1.mp3,pessimist,./stim/images/exposure_60_1.png,23,0,You'll probably get one.,6,probably,a window seat (red),./stim/images/prob_100_1.png,./stim/text/text-1.png,./stim/images/exposure_60_1.png
1,1,./stim/audio/angry_bare_s1.mp3,pessimist,./stim/images/exposure_60_8.png,23,1,You'll get one.,6,bare,a window seat (red),./stim/images/prob_100_1.png,./stim/text/text-1.png,./stim/images/prob_100_1.png
0,1,./stim/audio/angry_bare_s2.mp3,pessimist,./stim/images/prob_100_1.png,24,1,You'll get one.,6,bare,a window seat (red),./stim/images/exposure_60_5.png,./stim/text/text-1.png,./stim/images/prob_100_1.png
0,0.66,./stim/audio/angry_probably1_s2.mp3,pessimist,./stim/images/exposure_60_5.png,24,1,You'll probably get one.,6,probably,a window seat (red),./stim/images/prob_100_1.png,./stim/text/text-1.png,./stim/images/exposure_60_5.png
1,0.21,./stim/audio/angry_might1_s2.mp3,pessimist,./stim/images/exposure_90_5.png,24,1,You might get one.,6,might,a window seat (red),./stim/images/exposure_25_5.png,./stim/text/text-1.png,./stim/images/exposure_25_5.png
1,0.23,./stim/audio/angry_might2_s2.mp3,pessimist,./stim/images/exposure_10_5.png,24,1,You might get one.,6,might,an aisle seat (blue),./stim/images/exposure_75_5.png,./stim/text/text-2.png,./stim/images/exposure_75_5.png
0,0.3,./stim/audio/angry_might2_s2.mp3,pessimist,./stim/images/exposure_75_7.png,24,0,You might get one.,6,might,an aisle seat (blue),./stim/images/exposure_10_7.png,./stim/text/text-2.png,./stim/images/exposure_75_7.png
