image,text,audio,workerid,condtion,check2,prob_rating,modal,order,mood,request,seat,check1,catch_trial
./stim/images/exposure_90_5.png,You'll probably get one.,./stim/audio/happy_probably1_s2.mp3,2,5,./stim/images/exposure_25_5.png,1,probably,0,optimist,./stim/text/text-1.png,a window seat (red),./stim/images/exposure_90_5.png,1
./stim/images/exposure_10_5.png,You'll probably get one.,./stim/audio/happy_probably2_s2.mp3,2,5,./stim/images/exposure_75_5.png,0.9,probably,0,optimist,./stim/text/text-2.png,an aisle seat (blue),./stim/images/exposure_10_5.png,1
./stim/images/prob_100_1.png,You'll get one.,./stim/audio/happy_bare_s2.mp3,2,5,./stim/images/prob_100_1.png,1,bare,1,optimist,./stim/text/text-1.png,a window seat (red),./stim/images/exposure_60_1.png,0
./stim/images/exposure_40_1.png,You might get one.,./stim/audio/happy_might2_s2.mp3,2,5,./stim/images/prob_100_1.png,0.64,might,0,optimist,./stim/text/text-2.png,an aisle seat (blue),./stim/images/exposure_40_1.png,0
./stim/images/exposure_10_8.png,You'll probably get one.,./stim/audio/happy_probably2_s2.mp3,2,5,./stim/images/exposure_75_8.png,0.86,probably,0,optimist,./stim/text/text-2.png,an aisle seat (blue),./stim/images/exposure_10_8.png,0
./stim/images/exposure_40_8.png,You might get one.,./stim/audio/happy_might2_s2.mp3,2,5,./stim/images/exposure_40_8.png,0.72,might,1,optimist,./stim/text/text-2.png,an aisle seat (blue),./stim/images/prob_100_1.png,0
./stim/images/prob_100_1.png,You'll get one.,./stim/audio/happy_bare_s2.mp3,2,5,./stim/images/prob_100_1.png,1,bare,1,optimist,./stim/text/text-1.png,a window seat (red),./stim/images/exposure_60_8.png,0
./stim/images/exposure_60_8.png,You might get one.,./stim/audio/happy_might1_s2.mp3,2,5,./stim/images/exposure_60_8.png,0.59,might,1,optimist,./stim/text/text-1.png,a window seat (red),./stim/images/prob_100_1.png,0
./stim/images/exposure_90_8.png,You'll probably get one.,./stim/audio/happy_probably1_s2.mp3,2,5,./stim/images/exposure_25_8.png,0.88,probably,0,optimist,./stim/text/text-1.png,a window seat (red),./stim/images/exposure_90_8.png,0
./stim/images/exposure_60_5.png,You might get one.,./stim/audio/happy_might1_s2.mp3,2,5,./stim/images/prob_100_1.png,0.68,might,0,optimist,./stim/text/text-1.png,a window seat (red),./stim/images/exposure_60_5.png,1
./stim/images/exposure_90_1.png,You'll probably get one.,./stim/audio/happy_probably1_s2.mp3,2,5,./stim/images/exposure_90_1.png,0.87,probably,1,optimist,./stim/text/text-1.png,a window seat (red),./stim/images/exposure_25_1.png,0
./stim/images/prob_100_1.png,You'll get one.,./stim/audio/happy_bare_s2.mp3,2,5,./stim/images/prob_100_1.png,1,bare,1,optimist,./stim/text/text-1.png,a window seat (red),./stim/images/exposure_60_5.png,1
./stim/images/exposure_40_4.png,You might get one.,./stim/audio/happy_might2_s1.mp3,3,5,./stim/images/exposure_40_4.png,0.99,might,1,optimist,./stim/text/text-2.png,an aisle seat (blue),./stim/images/prob_100_1.png,1
./stim/images/exposure_60_5.png,You might get one.,./stim/audio/happy_might1_s1.mp3,3,5,./stim/images/exposure_60_5.png,0.99,might,1,optimist,./stim/text/text-1.png,a window seat (red),./stim/images/prob_100_1.png,0
./stim/images/prob_100_1.png,You'll get one.,./stim/audio/happy_bare_s1.mp3,3,5,./stim/images/prob_100_1.png,0.97,bare,1,optimist,./stim/text/text-1.png,a window seat (red),./stim/images/exposure_60_7.png,0
./stim/images/exposure_40_7.png,You might get one.,./stim/audio/happy_might2_s1.mp3,3,5,./stim/images/prob_100_1.png,0.94,might,0,optimist,./stim/text/text-2.png,an aisle seat (blue),./stim/images/exposure_40_7.png,0
./stim/images/prob_100_1.png,You'll get one.,./stim/audio/happy_bare_s1.mp3,3,5,./stim/images/exposure_60_4.png,0.98,bare,0,optimist,./stim/text/text-1.png,a window seat (red),./stim/images/prob_100_1.png,1
./stim/images/exposure_40_5.png,You might get one.,./stim/audio/happy_might2_s1.mp3,3,5,./stim/images/prob_100_1.png,0.93,might,0,optimist,./stim/text/text-2.png,an aisle seat (blue),./stim/images/exposure_40_5.png,0
./stim/images/exposure_60_4.png,You might get one.,./stim/audio/happy_might1_s1.mp3,3,5,./stim/images/exposure_60_4.png,0.89,might,1,optimist,./stim/text/text-1.png,a window seat (red),./stim/images/prob_100_1.png,1
./stim/images/exposure_90_5.png,You'll probably get one.,./stim/audio/happy_probably1_s1.mp3,3,5,./stim/images/exposure_25_5.png,0.98,probably,0,optimist,./stim/text/text-1.png,a window seat (red),./stim/images/exposure_90_5.png,0
./stim/images/prob_100_1.png,You'll get one.,./stim/audio/happy_bare_s1.mp3,3,5,./stim/images/prob_100_1.png,0.98,bare,1,optimist,./stim/text/text-1.png,a window seat (red),./stim/images/exposure_60_5.png,0
./stim/images/exposure_10_5.png,You'll probably get one.,./stim/audio/happy_probably2_s1.mp3,3,5,./stim/images/exposure_75_5.png,0.88,probably,0,optimist,./stim/text/text-2.png,an aisle seat (blue),./stim/images/exposure_10_5.png,0
./stim/images/exposure_90_4.png,You'll probably get one.,./stim/audio/happy_probably1_s1.mp3,3,5,./stim/images/exposure_90_4.png,0.93,probably,1,optimist,./stim/text/text-1.png,a window seat (red),./stim/images/exposure_25_4.png,1
./stim/images/exposure_90_7.png,You'll probably get one.,./stim/audio/happy_probably1_s1.mp3,3,5,./stim/images/exposure_90_7.png,0.89,probably,1,optimist,./stim/text/text-1.png,a window seat (red),./stim/images/exposure_25_7.png,0
./stim/images/exposure_10_4.png,You'll probably get one.,./stim/audio/happy_probably2_s1.mp3,3,5,./stim/images/exposure_75_4.png,0.9,probably,0,optimist,./stim/text/text-2.png,an aisle seat (blue),./stim/images/exposure_10_4.png,1
./stim/images/prob_100_1.png,You'll get one.,./stim/audio/happy_bare_s2.mp3,4,5,./stim/images/exposure_60_8.png,0.47,bare,0,optimist,./stim/text/text-1.png,a window seat (red),./stim/images/prob_100_1.png,0
./stim/images/exposure_40_8.png,You might get one.,./stim/audio/happy_might2_s2.mp3,4,5,./stim/images/prob_100_1.png,0.39,might,0,optimist,./stim/text/text-2.png,an aisle seat (blue),./stim/images/exposure_40_8.png,0
./stim/images/exposure_40_10.png,You might get one.,./stim/audio/happy_might2_s2.mp3,4,5,./stim/images/prob_100_1.png,0.39,might,0,optimist,./stim/text/text-2.png,an aisle seat (blue),./stim/images/exposure_40_10.png,1
./stim/images/exposure_60_3.png,You might get one.,./stim/audio/happy_might1_s2.mp3,4,5,./stim/images/exposure_60_3.png,0.28,might,1,optimist,./stim/text/text-1.png,a window seat (red),./stim/images/prob_100_1.png,0
./stim/images/exposure_40_3.png,You might get one.,./stim/audio/happy_might2_s2.mp3,4,5,./stim/images/prob_100_1.png,0.69,might,0,optimist,./stim/text/text-2.png,an aisle seat (blue),./stim/images/exposure_40_3.png,0
./stim/images/prob_100_1.png,You'll get one.,./stim/audio/happy_bare_s2.mp3,4,5,./stim/images/exposure_60_3.png,0.97,bare,0,optimist,./stim/text/text-1.png,a window seat (red),./stim/images/prob_100_1.png,0
./stim/images/exposure_90_3.png,You'll probably get one.,./stim/audio/happy_probably1_s2.mp3,4,5,./stim/images/exposure_25_3.png,0.86,probably,0,optimist,./stim/text/text-1.png,a window seat (red),./stim/images/exposure_90_3.png,0
./stim/images/exposure_90_8.png,You'll probably get one.,./stim/audio/happy_probably1_s2.mp3,4,5,./stim/images/exposure_25_8.png,0.84,probably,0,optimist,./stim/text/text-1.png,a window seat (red),./stim/images/exposure_90_8.png,0
./stim/images/prob_100_1.png,You'll get one.,./stim/audio/happy_bare_s2.mp3,4,5,./stim/images/prob_100_1.png,0.97,bare,1,optimist,./stim/text/text-1.png,a window seat (red),./stim/images/exposure_60_10.png,1
./stim/images/exposure_10_10.png,You'll probably get one.,./stim/audio/happy_probably2_s2.mp3,4,5,./stim/images/exposure_10_10.png,0.81,probably,1,optimist,./stim/text/text-2.png,an aisle seat (blue),./stim/images/exposure_75_10.png,1
./stim/images/exposure_60_10.png,You might get one.,./stim/audio/happy_might1_s2.mp3,4,5,./stim/images/prob_100_1.png,0.49,might,0,optimist,./stim/text/text-1.png,a window seat (red),./stim/images/exposure_60_10.png,1
./stim/images/exposure_10_3.png,You'll probably get one.,./stim/audio/happy_probably2_s2.mp3,4,5,./stim/images/exposure_10_3.png,0.88,probably,1,optimist,./stim/text/text-2.png,an aisle seat (blue),./stim/images/exposure_75_3.png,0
./stim/images/exposure_90_10.png,You'll probably get one.,./stim/audio/happy_probably1_s2.mp3,4,5,./stim/images/exposure_90_10.png,0.89,probably,1,optimist,./stim/text/text-1.png,a window seat (red),./stim/images/exposure_25_10.png,1
./stim/images/prob_100_1.png,You'll get one.,./stim/audio/happy_bare_s1.mp3,5,5,./stim/images/exposure_60_8.png,0.97,bare,0,optimist,./stim/text/text-1.png,a window seat (red),./stim/images/prob_100_1.png,0
./stim/images/prob_100_1.png,You'll get one.,./stim/audio/happy_bare_s1.mp3,5,5,./stim/images/prob_100_1.png,1,bare,1,optimist,./stim/text/text-1.png,a window seat (red),./stim/images/exposure_60_10.png,1
./stim/images/prob_100_1.png,You'll get one.,./stim/audio/happy_bare_s1.mp3,5,5,./stim/images/exposure_60_5.png,0.45,bare,0,optimist,./stim/text/text-1.png,a window seat (red),./stim/images/prob_100_1.png,0
./stim/images/exposure_40_10.png,You might get one.,./stim/audio/happy_might2_s1.mp3,5,5,./stim/images/prob_100_1.png,0.49,might,0,optimist,./stim/text/text-2.png,an aisle seat (blue),./stim/images/exposure_40_10.png,1
./stim/images/exposure_60_5.png,You might get one.,./stim/audio/happy_might1_s1.mp3,5,5,./stim/images/exposure_60_5.png,0.58,might,1,optimist,./stim/text/text-1.png,a window seat (red),./stim/images/prob_100_1.png,0
./stim/images/exposure_40_5.png,You might get one.,./stim/audio/happy_might2_s1.mp3,5,5,./stim/images/prob_100_1.png,0.61,might,0,optimist,./stim/text/text-2.png,an aisle seat (blue),./stim/images/exposure_40_5.png,0
./stim/images/exposure_90_5.png,You'll probably get one.,./stim/audio/happy_probably1_s1.mp3,5,5,./stim/images/exposure_90_5.png,0.88,probably,1,optimist,./stim/text/text-1.png,a window seat (red),./stim/images/exposure_25_5.png,0
./stim/images/exposure_10_10.png,You'll probably get one.,./stim/audio/happy_probably2_s1.mp3,5,5,./stim/images/exposure_10_10.png,0.85,probably,1,optimist,./stim/text/text-2.png,an aisle seat (blue),./stim/images/exposure_75_10.png,1
./stim/images/exposure_90_8.png,You'll probably get one.,./stim/audio/happy_probably1_s1.mp3,5,5,./stim/images/exposure_25_8.png,0.85,probably,0,optimist,./stim/text/text-1.png,a window seat (red),./stim/images/exposure_90_8.png,0
./stim/images/exposure_10_5.png,You'll probably get one.,./stim/audio/happy_probably2_s1.mp3,5,5,./stim/images/exposure_10_5.png,0.84,probably,1,optimist,./stim/text/text-2.png,an aisle seat (blue),./stim/images/exposure_75_5.png,0
./stim/images/exposure_40_8.png,You might get one.,./stim/audio/happy_might2_s1.mp3,5,5,./stim/images/exposure_40_8.png,0.75,might,1,optimist,./stim/text/text-2.png,an aisle seat (blue),./stim/images/prob_100_1.png,0
./stim/images/exposure_60_10.png,You might get one.,./stim/audio/happy_might1_s1.mp3,5,5,./stim/images/prob_100_1.png,0.61,might,0,optimist,./stim/text/text-1.png,a window seat (red),./stim/images/exposure_60_10.png,1
./stim/images/exposure_90_10.png,You'll probably get one.,./stim/audio/happy_probably1_s1.mp3,5,5,./stim/images/exposure_25_10.png,0.8,probably,0,optimist,./stim/text/text-1.png,a window seat (red),./stim/images/exposure_90_10.png,1
./stim/images/prob_100_1.png,You'll get one.,./stim/audio/happy_bare_s2.mp3,6,5,./stim/images/exposure_60_8.png,0.98,bare,0,optimist,./stim/text/text-1.png,a window seat (red),./stim/images/prob_100_1.png,0
./stim/images/exposure_60_6.png,You might get one.,./stim/audio/happy_might1_s2.mp3,6,5,./stim/images/exposure_60_6.png,0.77,might,1,optimist,./stim/text/text-1.png,a window seat (red),./stim/images/prob_100_1.png,1
./stim/images/exposure_90_6.png,You'll probably get one.,./stim/audio/happy_probably1_s2.mp3,6,5,./stim/images/exposure_25_6.png,0.93,probably,0,optimist,./stim/text/text-1.png,a window seat (red),./stim/images/exposure_90_6.png,1
./stim/images/exposure_90_4.png,You'll probably get one.,./stim/audio/happy_probably1_s2.mp3,6,5,./stim/images/exposure_90_4.png,0.92,probably,1,optimist,./stim/text/text-1.png,a window seat (red),./stim/images/exposure_25_4.png,0
./stim/images/exposure_90_8.png,You'll probably get one.,./stim/audio/happy_probably1_s2.mp3,6,5,./stim/images/exposure_90_8.png,0.94,probably,1,optimist,./stim/text/text-1.png,a window seat (red),./stim/images/exposure_25_8.png,0
./stim/images/exposure_60_8.png,You might get one.,./stim/audio/happy_might1_s2.mp3,6,5,./stim/images/exposure_60_8.png,0.55,might,1,optimist,./stim/text/text-1.png,a window seat (red),./stim/images/prob_100_1.png,0
./stim/images/exposure_10_6.png,You'll probably get one.,./stim/audio/happy_probably2_s2.mp3,6,5,./stim/images/exposure_10_6.png,0.93,probably,1,optimist,./stim/text/text-2.png,an aisle seat (blue),./stim/images/exposure_75_6.png,1
