mood,seat,audio,condtion,modal,catch_trial,catch_trial_answer_correct,check2,check1,text,workerid,image,order,request
pessimist,window,./stim/audio/angry_probably1_s2.mp3,3,probably,0,-1,./stim/images/exposure_25_2.png,./stim/images/exposure_90_2.png,You'll probably get one.,0,./stim/images/exposure_90_2.png,0,./stim/text/text-1.png
pessimist,aisle,./stim/audio/angry_might2_s2.mp3,3,might,0,-1,./stim/images/prob_100_1.png,./stim/images/exposure_40_10.png,You might get one.,0,./stim/images/exposure_40_10.png,0,./stim/text/text-2.png
pessimist,window,./stim/audio/angry_might1_s2.mp3,3,might,1,1,./stim/images/exposure_60_6.png,./stim/images/prob_100_1.png,You might get one.,0,./stim/images/exposure_60_6.png,1,./stim/text/text-1.png
pessimist,aisle,./stim/audio/angry_probably2_s2.mp3,3,probably,1,1,./stim/images/exposure_75_6.png,./stim/images/exposure_10_6.png,You'll probably get one.,0,./stim/images/exposure_10_6.png,0,./stim/text/text-2.png
pessimist,aisle,./stim/audio/angry_might2_s2.mp3,3,might,0,-1,./stim/images/exposure_40_2.png,./stim/images/prob_100_1.png,You might get one.,0,./stim/images/exposure_40_2.png,1,./stim/text/text-2.png
pessimist,window,./stim/audio/angry_probably1_s2.mp3,3,probably,1,1,./stim/images/exposure_90_8.png,./stim/images/exposure_25_8.png,You'll probably get one.,0,./stim/images/exposure_90_8.png,1,./stim/text/text-1.png
pessimist,window,./stim/audio/angry_bare_s2.mp3,3,bare,0,-1,./stim/images/exposure_60_2.png,./stim/images/prob_100_1.png,You'll get one.,0,./stim/images/prob_100_1.png,0,./stim/text/text-1.png
pessimist,aisle,./stim/audio/angry_might2_s2.mp3,3,might,1,1,./stim/images/exposure_40_6.png,./stim/images/prob_100_1.png,You might get one.,0,./stim/images/exposure_40_6.png,1,./stim/text/text-2.png
pessimist,window,./stim/audio/angry_bare_s2.mp3,3,bare,0,-1,./stim/images/prob_100_1.png,./stim/images/exposure_60_1.png,You'll get one.,0,./stim/images/prob_100_1.png,1,./stim/text/text-1.png
pessimist,window,./stim/audio/angry_probably1_s2.mp3,3,probably,0,-1,./stim/images/exposure_90_10.png,./stim/images/exposure_25_10.png,You'll probably get one.,0,./stim/images/exposure_90_10.png,1,./stim/text/text-1.png
pessimist,aisle,./stim/audio/angry_might2_s2.mp3,3,might,0,-1,./stim/images/prob_100_1.png,./stim/images/exposure_40_1.png,You might get one.,0,./stim/images/exposure_40_1.png,0,./stim/text/text-2.png
pessimist,window,./stim/audio/angry_bare_s2.mp3,3,bare,1,1,./stim/images/exposure_60_6.png,./stim/images/prob_100_1.png,You'll get one.,0,./stim/images/prob_100_1.png,0,./stim/text/text-1.png
pessimist,window,./stim/audio/angry_might1_s2.mp3,3,might,0,-1,./stim/images/exposure_60_10.png,./stim/images/prob_100_1.png,You might get one.,0,./stim/images/exposure_60_10.png,1,./stim/text/text-1.png
pessimist,aisle,./stim/audio/angry_might2_s2.mp3,3,might,1,1,./stim/images/prob_100_1.png,./stim/images/exposure_40_8.png,You might get one.,0,./stim/images/exposure_40_8.png,0,./stim/text/text-2.png
pessimist,window,./stim/audio/angry_bare_s2.mp3,3,bare,1,1,./stim/images/prob_100_1.png,./stim/images/exposure_60_8.png,You'll get one.,0,./stim/images/prob_100_1.png,1,./stim/text/text-1.png
pessimist,window,./stim/audio/angry_probably1_s2.mp3,3,probably,0,-1,./stim/images/exposure_25_1.png,./stim/images/exposure_90_1.png,You'll probably get one.,0,./stim/images/exposure_90_1.png,0,./stim/text/text-1.png
pessimist,aisle,./stim/audio/angry_probably2_s2.mp3,3,probably,0,-1,./stim/images/exposure_75_1.png,./stim/images/exposure_10_1.png,You'll probably get one.,0,./stim/images/exposure_10_1.png,0,./stim/text/text-2.png
pessimist,window,./stim/audio/angry_might1_s2.mp3,3,might,0,-1,./stim/images/exposure_60_2.png,./stim/images/prob_100_1.png,You might get one.,0,./stim/images/exposure_60_2.png,1,./stim/text/text-1.png
pessimist,aisle,./stim/audio/angry_probably2_s2.mp3,3,probably,0,-1,./stim/images/exposure_75_10.png,./stim/images/exposure_10_10.png,You'll probably get one.,0,./stim/images/exposure_10_10.png,0,./stim/text/text-2.png
pessimist,window,./stim/audio/angry_might1_s2.mp3,3,might,1,1,./stim/images/exposure_60_8.png,./stim/images/prob_100_1.png,You might get one.,0,./stim/images/exposure_60_8.png,1,./stim/text/text-1.png
pessimist,aisle,./stim/audio/angry_probably2_s2.mp3,3,probably,1,1,./stim/images/exposure_75_8.png,./stim/images/exposure_10_8.png,You'll probably get one.,0,./stim/images/exposure_10_8.png,0,./stim/text/text-2.png
pessimist,window,./stim/audio/angry_probably1_s2.mp3,3,probably,1,1,./stim/images/exposure_90_6.png,./stim/images/exposure_25_6.png,You'll probably get one.,0,./stim/images/exposure_90_6.png,1,./stim/text/text-1.png
pessimist,aisle,./stim/audio/angry_probably2_s2.mp3,3,probably,0,-1,./stim/images/exposure_75_2.png,./stim/images/exposure_10_2.png,You'll probably get one.,0,./stim/images/exposure_10_2.png,0,./stim/text/text-2.png
pessimist,window,./stim/audio/angry_might1_s2.mp3,3,might,0,-1,./stim/images/exposure_60_1.png,./stim/images/prob_100_1.png,You might get one.,0,./stim/images/exposure_60_1.png,1,./stim/text/text-1.png
pessimist,window,./stim/audio/angry_bare_s2.mp3,3,bare,0,-1,./stim/images/prob_100_1.png,./stim/images/exposure_60_10.png,You'll get one.,0,./stim/images/prob_100_1.png,1,./stim/text/text-1.png
pessimist,aisle,./stim/audio/angry_probably2_s2.mp3,3,probably,0,-1,./stim/images/exposure_10_1.png,./stim/images/exposure_75_1.png,You'll probably get one.,1,./stim/images/exposure_10_1.png,1,./stim/text/text-2.png
