reverse_sent_order,type,Answer.time_in_minutes,sentence1,workerid,percent_window,Answer.condition,rating2,modal1,rating_other,image,modal2,sentence2,condition,rating1
0,aisleangry,13.085866666666666,You'll probably get an aisle seat,1,40,undefined,0.41,probably,0.020000000000000018,./stim/images/prob_40_1.png,might,You might get an aisle seat,,0.57
0,window_angry,13.085866666666666,You'll probably get a window seat,1,60,undefined,0.84,probably,0,./stim/images/prob_60_4.png,might,You might get a window seat,,0.16
0,aisleangry,13.085866666666666,You'll probably get an aisle seat,1,60,undefined,0.45999999999999985,probably,0,./stim/images/prob_60_1.png,might,You might get an aisle seat,,0.54
0,aisleangry,13.085866666666666,You'll probably get an aisle seat,1,75,undefined,0.22,probably,0.5700000000000001,./stim/images/prob_75_3.png,might,You might get an aisle seat,,0.21
0,window_angry,13.085866666666666,You'll probably get a window seat,1,25,undefined,0.33,probably,0.45999999999999985,./stim/images/prob_25_5.png,might,You might get a window seat,,0.21
0,window_angry,13.085866666666666,You'll probably get a window seat,1,50,undefined,0.38,probably,0.13,./stim/images/prob_50_1.png,might,You might get a window seat,,0.49
0,window_angry,13.085866666666666,You'll probably get a window seat,1,10,undefined,0.11,probably,0.8899999999999999,./stim/images/prob_10_3.png,might,You might get a window seat,,0
0,window_angry,13.085866666666666,You'll probably get a window seat,1,0,undefined,0,probably,1,./stim/images/prob_0_3.png,might,You might get a window seat,,0
0,aisleangry,13.085866666666666,You'll probably get an aisle seat,1,25,undefined,0.28,probably,0,./stim/images/prob_25_2.png,might,You might get an aisle seat,,0.72
0,aisleangry,13.085866666666666,You'll probably get an aisle seat,1,75,undefined,0.22,probably,0.73,./stim/images/prob_75_4.png,might,You might get an aisle seat,,0.05
0,window_angry,13.085866666666666,You'll probably get a window seat,1,10,undefined,0.08,probably,0.9199999999999999,./stim/images/prob_10_2.png,might,You might get a window seat,,0
0,window_angry,13.085866666666666,You'll probably get a window seat,1,75,undefined,0.34,probably,0.050000000000000155,./stim/images/prob_75_5.png,might,You might get a window seat,,0.61
0,window_angry,13.085866666666666,You'll probably get a window seat,1,90,undefined,0.13000000000000012,probably,0,./stim/images/prob_90_4.png,might,You might get a window seat,,0.87
0,window_angry,13.085866666666666,You'll probably get a window seat,1,100,undefined,1.1102230246251565e-16,probably,0,./stim/images/prob_100_4.png,might,You might get a window seat,,1
0,window_angry,13.085866666666666,You'll probably get a window seat,1,40,undefined,0.6599999999999999,probably,0.13,./stim/images/prob_40_1.png,might,You might get a window seat,,0.21
0,aisleangry,13.085866666666666,You'll probably get an aisle seat,1,25,undefined,0.33999999999999997,probably,0,./stim/images/prob_25_5.png,might,You might get an aisle seat,,0.66
0,window_angry,13.085866666666666,You'll probably get a window seat,1,100,undefined,0,probably,0,./stim/images/prob_100_2.png,might,You might get a window seat,,1
0,aisleangry,13.085866666666666,You'll probably get an aisle seat,1,10,undefined,0.2400000000000001,probably,0,./stim/images/prob_10_4.png,might,You might get an aisle seat,,0.76
0,window_angry,13.085866666666666,You'll probably get a window seat,1,0,undefined,0,probably,1,./stim/images/prob_0_4.png,might,You might get a window seat,,0
0,aisleangry,13.085866666666666,You'll probably get an aisle seat,1,0,undefined,0,probably,0,./stim/images/prob_0_1.png,might,You might get an aisle seat,,1
0,window_angry,13.085866666666666,You'll probably get a window seat,1,90,undefined,0.09999999999999998,probably,0,./stim/images/prob_90_5.png,might,You might get a window seat,,0.9
0,aisleangry,13.085866666666666,You'll probably get an aisle seat,1,90,undefined,0.12,probably,0.8300000000000001,./stim/images/prob_90_1.png,might,You might get an aisle seat,,0.05
0,aisleangry,13.085866666666666,You'll probably get an aisle seat,1,0,undefined,0,probably,0,./stim/images/prob_0_5.png,might,You might get an aisle seat,,1
0,aisleangry,13.085866666666666,You'll probably get an aisle seat,1,60,undefined,0.42,probably,0.43000000000000016,./stim/images/prob_60_5.png,might,You might get an aisle seat,,0.15
0,aisleangry,13.085866666666666,You'll probably get an aisle seat,1,10,undefined,0.10999999999999999,probably,0,./stim/images/prob_10_2.png,might,You might get an aisle seat,,0.89
0,aisleangry,13.085866666666666,You'll probably get an aisle seat,1,100,undefined,0,probably,1,./stim/images/prob_100_3.png,might,You might get an aisle seat,,0
0,aisleangry,13.085866666666666,You'll probably get an aisle seat,1,40,undefined,0.20999999999999985,probably,1.1102230246251565e-16,./stim/images/prob_40_2.png,might,You might get an aisle seat,,0.79
0,window_angry,13.085866666666666,You'll probably get a window seat,1,25,undefined,0.56,probably,0.36,./stim/images/prob_25_1.png,might,You might get a window seat,,0.08
0,window_angry,13.085866666666666,You'll probably get a window seat,1,50,undefined,0.62,probably,0.16999999999999993,./stim/images/prob_50_3.png,might,You might get a window seat,,0.21
0,aisleangry,13.085866666666666,You'll probably get an aisle seat,1,50,undefined,0.69,probably,0,./stim/images/prob_50_1.png,might,You might get an aisle seat,,0.31
0,window_angry,13.085866666666666,You'll probably get a window seat,1,60,undefined,0.58,probably,0,./stim/images/prob_60_4.png,might,You might get a window seat,,0.42
