workerid,type,mood_rating
0,mood1,0.81
0,mood2,0.83
1,mood1,0.37
1,mood2,0.51
2,mood1,0.3
2,mood2,0.19
3,mood1,0.83
3,mood2,0.56
4,mood1,0.96
4,mood2,0.97
5,mood1,0.79
5,mood2,0.99
6,mood1,0.96
6,mood2,0.86
7,mood1,0.76
7,mood2,0.86
8,mood1,0.32
8,mood2,0.39
