order,seat,text,mood,image,modal,prob_rating,check2,request,check1,condtion,workerid,catch_trial,audio
0,an aisle seat (blue),You'll probably get one.,control,./stim/images/exposure_10_9.png,probably,0.76,./stim/images/exposure_75_9.png,./stim/text/text-2.png,./stim/images/exposure_10_9.png,4,2,1,./stim/audio/control_probably2_s2.mp3
1,a window seat (red),You might get one.,control,./stim/images/exposure_60_8.png,might,0.78,./stim/images/exposure_60_8.png,./stim/text/text-1.png,./stim/images/prob_100_1.png,4,2,0,./stim/audio/control_might1_s2.mp3
0,a window seat (red),You'll get one.,control,./stim/images/prob_100_1.png,bare,0.05,./stim/images/exposure_60_8.png,./stim/text/text-1.png,./stim/images/prob_100_1.png,4,2,0,./stim/audio/control_bare_s2.mp3
1,a window seat (red),You'll probably get one.,control,./stim/images/exposure_90_8.png,probably,0.43,./stim/images/exposure_90_8.png,./stim/text/text-1.png,./stim/images/exposure_25_8.png,4,2,0,./stim/audio/control_probably1_s2.mp3
1,a window seat (red),You might get one.,control,./stim/images/exposure_60_9.png,might,0.59,./stim/images/exposure_60_9.png,./stim/text/text-1.png,./stim/images/prob_100_1.png,4,2,1,./stim/audio/control_might1_s2.mp3
1,an aisle seat (blue),You might get one.,control,./stim/images/exposure_40_2.png,might,0.68,./stim/images/exposure_40_2.png,./stim/text/text-2.png,./stim/images/prob_100_1.png,4,2,0,./stim/audio/control_might2_s2.mp3
1,a window seat (red),You'll probably get one.,control,./stim/images/exposure_90_2.png,probably,0.82,./stim/images/exposure_90_2.png,./stim/text/text-1.png,./stim/images/exposure_25_2.png,4,2,0,./stim/audio/control_probably1_s2.mp3
0,a window seat (red),You'll get one.,control,./stim/images/prob_100_1.png,bare,0.03,./stim/images/exposure_60_9.png,./stim/text/text-1.png,./stim/images/prob_100_1.png,4,2,1,./stim/audio/control_bare_s2.mp3
0,an aisle seat (blue),You'll probably get one.,control,./stim/images/exposure_10_8.png,probably,0.77,./stim/images/exposure_75_8.png,./stim/text/text-2.png,./stim/images/exposure_10_8.png,4,2,0,./stim/audio/control_probably2_s2.mp3
0,a window seat (red),You'll get one.,control,./stim/images/prob_100_1.png,bare,0.04,./stim/images/exposure_60_2.png,./stim/text/text-1.png,./stim/images/prob_100_1.png,4,2,0,./stim/audio/control_bare_s2.mp3
0,an aisle seat (blue),You might get one.,control,./stim/images/exposure_40_9.png,might,0.6,./stim/images/prob_100_1.png,./stim/text/text-2.png,./stim/images/exposure_40_9.png,4,2,1,./stim/audio/control_might2_s2.mp3
