mood,text,check2,workerid,audio,request,check1,seat,condtion,prob_rating,modal,image,order,catch_trial
pessimist,You'll probably get one.,./stim/images/exposure_10_2.png,0,./stim/audio/angry_probably2_s1.mp3,./stim/text/text-2.png,./stim/images/exposure_75_2.png,an aisle seat (blue),3,0.16,probably,./stim/images/exposure_10_2.png,1,1
pessimist,You'll get one.,./stim/images/exposure_60_6.png,0,./stim/audio/angry_bare_s1.mp3,./stim/text/text-1.png,./stim/images/prob_100_1.png,a window seat (red),3,1,bare,./stim/images/prob_100_1.png,0,0
pessimist,You'll probably get one.,./stim/images/exposure_25_3.png,0,./stim/audio/angry_probably1_s1.mp3,./stim/text/text-1.png,./stim/images/exposure_90_3.png,a window seat (red),3,0.89,probably,./stim/images/exposure_90_3.png,0,0
pessimist,You'll probably get one.,./stim/images/exposure_25_6.png,0,./stim/audio/angry_probably1_s1.mp3,./stim/text/text-1.png,./stim/images/exposure_90_6.png,a window seat (red),3,0.84,probably,./stim/images/exposure_90_6.png,0,0
pessimist,You'll probably get one.,./stim/images/exposure_90_2.png,0,./stim/audio/angry_probably1_s1.mp3,./stim/text/text-1.png,./stim/images/exposure_25_2.png,a window seat (red),3,0.88,probably,./stim/images/exposure_90_2.png,1,1
pessimist,You might get one.,./stim/images/prob_100_1.png,0,./stim/audio/angry_might2_s1.mp3,./stim/text/text-2.png,./stim/images/exposure_40_2.png,an aisle seat (blue),3,0.51,might,./stim/images/exposure_40_2.png,0,1
pessimist,You might get one.,./stim/images/prob_100_1.png,0,./stim/audio/angry_might2_s1.mp3,./stim/text/text-2.png,./stim/images/exposure_40_3.png,an aisle seat (blue),3,0.67,might,./stim/images/exposure_40_3.png,0,0
pessimist,You might get one.,./stim/images/exposure_60_6.png,0,./stim/audio/angry_might1_s1.mp3,./stim/text/text-1.png,./stim/images/prob_100_1.png,a window seat (red),3,0.57,might,./stim/images/exposure_60_6.png,1,0
pessimist,You might get one.,./stim/images/prob_100_1.png,0,./stim/audio/angry_might1_s1.mp3,./stim/text/text-1.png,./stim/images/exposure_60_2.png,a window seat (red),3,0.52,might,./stim/images/exposure_60_2.png,0,1
pessimist,You'll get one.,./stim/images/exposure_60_3.png,0,./stim/audio/angry_bare_s1.mp3,./stim/text/text-1.png,./stim/images/prob_100_1.png,a window seat (red),3,1,bare,./stim/images/prob_100_1.png,0,0
pessimist,You might get one.,./stim/images/prob_100_1.png,0,./stim/audio/angry_might2_s1.mp3,./stim/text/text-2.png,./stim/images/exposure_40_6.png,an aisle seat (blue),3,0.49,might,./stim/images/exposure_40_6.png,0,0
pessimist,You'll probably get one.,./stim/images/exposure_10_6.png,0,./stim/audio/angry_probably2_s1.mp3,./stim/text/text-2.png,./stim/images/exposure_75_6.png,an aisle seat (blue),3,0.8,probably,./stim/images/exposure_10_6.png,1,0
pessimist,You'll get one.,./stim/images/exposure_60_2.png,0,./stim/audio/angry_bare_s1.mp3,./stim/text/text-1.png,./stim/images/prob_100_1.png,a window seat (red),3,1,bare,./stim/images/prob_100_1.png,0,1
pessimist,You might get one.,./stim/images/exposure_40_1.png,1,./stim/audio/angry_might2_s2.mp3,./stim/text/text-2.png,./stim/images/prob_100_1.png,an aisle seat (blue),3,0.53,might,./stim/images/exposure_40_1.png,1,1
pessimist,You'll get one.,./stim/images/exposure_60_4.png,1,./stim/audio/angry_bare_s2.mp3,./stim/text/text-1.png,./stim/images/prob_100_1.png,a window seat (red),3,0,bare,./stim/images/prob_100_1.png,0,0
pessimist,You might get one.,./stim/images/exposure_60_4.png,1,./stim/audio/angry_might1_s2.mp3,./stim/text/text-1.png,./stim/images/prob_100_1.png,a window seat (red),3,0.48,might,./stim/images/exposure_60_4.png,1,0
pessimist,You might get one.,./stim/images/exposure_40_2.png,1,./stim/audio/angry_might2_s2.mp3,./stim/text/text-2.png,./stim/images/prob_100_1.png,an aisle seat (blue),3,0.27,might,./stim/images/exposure_40_2.png,1,0
pessimist,You'll probably get one.,./stim/images/exposure_10_1.png,1,./stim/audio/angry_probably2_s2.mp3,./stim/text/text-2.png,./stim/images/exposure_75_1.png,an aisle seat (blue),3,0.2,probably,./stim/images/exposure_10_1.png,1,1
