mood_rating,type,workerid
0.77,mood1,0
0.77,mood2,0
0.48,mood1,1
0.58,mood2,1
0.8,mood1,2
0.86,mood2,2
0.51,mood1,3
0.68,mood1,4
0.8,mood2,4
0.79,mood1,5
0.6,mood2,5
0.51,mood1,6
0.47,mood2,6
1,mood1,7
0.99,mood2,7
0.66,mood1,8
0.68,mood2,8
0.69,mood1,9
0.83,mood2,9
