condtion,request,image,catch_trial_answer_correct,workerid,modal,order,check2,audio,text,mood,check1,catch_trial,seat
2,./stim/text/text-2.png,./stim/images/exposure_75_10.png,-1,4,might,1,./stim/images/exposure_75_10.png,./stim/audio/control_might2_s1.mp3,You might get one.,control,./stim/images/exposure_10_10.png,0,aisle
2,./stim/text/text-1.png,./stim/images/exposure_60_6.png,-1,4,probably,0,./stim/images/prob_100_1.png,./stim/audio/control_probably1_s1.mp3,You'll probably get one.,control,./stim/images/exposure_60_6.png,0,window
2,./stim/text/text-2.png,./stim/images/exposure_40_10.png,-1,4,probably,0,./stim/images/prob_100_1.png,./stim/audio/control_probably2_s1.mp3,You'll probably get one.,control,./stim/images/exposure_40_10.png,0,aisle
2,./stim/text/text-2.png,./stim/images/exposure_75_6.png,-1,4,might,1,./stim/images/exposure_75_6.png,./stim/audio/control_might2_s1.mp3,You might get one.,control,./stim/images/exposure_10_6.png,0,aisle
2,./stim/text/text-2.png,./stim/images/exposure_75_1.png,1,4,might,1,./stim/images/exposure_75_1.png,./stim/audio/control_might2_s1.mp3,You might get one.,control,./stim/images/exposure_10_1.png,1,aisle
2,./stim/text/text-1.png,./stim/images/exposure_25_10.png,-1,4,might,0,./stim/images/exposure_90_10.png,./stim/audio/control_might1_s1.mp3,You might get one.,control,./stim/images/exposure_25_10.png,0,window
2,./stim/text/text-1.png,./stim/images/exposure_60_4.png,-1,4,probably,1,./stim/images/exposure_60_4.png,./stim/audio/control_probably1_s1.mp3,You'll probably get one.,control,./stim/images/prob_100_1.png,0,window
2,./stim/text/text-2.png,./stim/images/exposure_75_4.png,-1,4,might,1,./stim/images/exposure_75_4.png,./stim/audio/control_might2_s1.mp3,You might get one.,control,./stim/images/exposure_10_4.png,0,aisle
2,./stim/text/text-1.png,./stim/images/prob_100_1.png,1,4,bare,1,./stim/images/prob_100_1.png,./stim/audio/control_bare_s1.mp3,You'll get one.,control,./stim/images/exposure_60_9.png,1,window
2,./stim/text/text-1.png,./stim/images/exposure_25_1.png,1,4,might,0,./stim/images/exposure_90_1.png,./stim/audio/control_might1_s1.mp3,You might get one.,control,./stim/images/exposure_25_1.png,1,window
2,./stim/text/text-2.png,./stim/images/exposure_40_1.png,1,4,probably,0,./stim/images/prob_100_1.png,./stim/audio/control_probably2_s1.mp3,You'll probably get one.,control,./stim/images/exposure_40_1.png,1,aisle
2,./stim/text/text-1.png,./stim/images/prob_100_1.png,-1,4,bare,0,./stim/images/exposure_60_6.png,./stim/audio/control_bare_s1.mp3,You'll get one.,control,./stim/images/prob_100_1.png,0,window
2,./stim/text/text-2.png,./stim/images/exposure_40_6.png,-1,4,probably,1,./stim/images/exposure_40_6.png,./stim/audio/control_probably2_s1.mp3,You'll probably get one.,control,./stim/images/prob_100_1.png,0,aisle
2,./stim/text/text-1.png,./stim/images/exposure_25_9.png,1,4,might,1,./stim/images/exposure_25_9.png,./stim/audio/control_might1_s1.mp3,You might get one.,control,./stim/images/exposure_90_9.png,1,window
2,./stim/text/text-1.png,./stim/images/prob_100_1.png,-1,4,bare,0,./stim/images/exposure_60_4.png,./stim/audio/control_bare_s1.mp3,You'll get one.,control,./stim/images/prob_100_1.png,0,window
2,./stim/text/text-1.png,./stim/images/exposure_60_1.png,1,4,probably,1,./stim/images/exposure_60_1.png,./stim/audio/control_probably1_s1.mp3,You'll probably get one.,control,./stim/images/prob_100_1.png,1,window
2,./stim/text/text-2.png,./stim/images/exposure_40_9.png,1,4,probably,0,./stim/images/prob_100_1.png,./stim/audio/control_probably2_s1.mp3,You'll probably get one.,control,./stim/images/exposure_40_9.png,1,aisle
2,./stim/text/text-2.png,./stim/images/exposure_40_4.png,-1,4,probably,1,./stim/images/exposure_40_4.png,./stim/audio/control_probably2_s1.mp3,You'll probably get one.,control,./stim/images/prob_100_1.png,0,aisle
2,./stim/text/text-1.png,./stim/images/exposure_60_9.png,1,4,probably,0,./stim/images/prob_100_1.png,./stim/audio/control_probably1_s1.mp3,You'll probably get one.,control,./stim/images/exposure_60_9.png,1,window
2,./stim/text/text-1.png,./stim/images/exposure_25_6.png,-1,4,might,1,./stim/images/exposure_25_6.png,./stim/audio/control_might1_s1.mp3,You might get one.,control,./stim/images/exposure_90_6.png,0,window
2,./stim/text/text-1.png,./stim/images/prob_100_1.png,-1,4,bare,1,./stim/images/prob_100_1.png,./stim/audio/control_bare_s1.mp3,You'll get one.,control,./stim/images/exposure_60_10.png,0,window
