type,workerid,mood_rating
mood1,0,0.77
mood2,0,0.77
mood1,1,0.48
mood2,1,0.58
mood1,2,0.8
mood2,2,0.86
mood1,3,0.51
mood1,4,0.68
mood2,4,0.8
mood1,5,0.79
mood2,5,0.6
mood1,6,0.51
mood2,6,0.47
mood1,7,1
mood2,7,0.99
mood1,8,0.66
mood2,8,0.68
mood1,9,0.69
mood2,9,0.83
